적발횟수,알콜농도,측정일시
1,0.065,2018-01-01 0:00
1,0.074,2018-01-01 0:00
1,0.089,2018-01-01 0:00
1,0.128,2018-01-01 0:04
1,0.152,2018-01-01 0:05
1,0.094,2018-01-01 0:05
1,0.095,2018-01-01 0:08
1,0.104,2018-01-01 0:10
1,0.205,2018-01-01 0:10
1,0.117,2018-01-01 0:10
1,0.102,2018-01-01 0:11
1,0.057,2018-01-01 0:12
1,0.125,2018-01-01 0:12
1,0.132,2018-01-01 0:20
1,0.082,2018-01-01 0:23
1,0.162,2018-01-01 0:23
1,0.055,2018-01-01 0:28
1,0.136,2018-01-01 0:28
1,0.128,2018-01-01 0:31
1,0.132,2018-01-01 0:32
1,0.065,2018-01-01 0:34
1,0.058,2018-01-01 0:41
1,0.064,2018-01-01 0:41
1,0.053,2018-01-01 0:42
1,0.123,2018-01-01 0:42
1,0.156,2018-01-01 0:46
1,0.055,2018-01-01 0:47
1,측정거부,2018-01-01 0:53
1,0.068,2018-01-01 1:03
1,0.092,2018-01-01 1:04
1,0.118,2018-01-01 1:09
1,0.16,2018-01-01 1:12
1,0.159,2018-01-01 1:18
1,0.057,2018-01-01 1:19
1,0.082,2018-01-01 1:27
1,0.12,2018-01-01 1:30
1,0.097,2018-01-01 1:34
1,0.14,2018-01-01 1:37
1,0.05,2018-01-01 1:38
1,0.161,2018-01-01 1:39
1,측정거부,2018-01-01 1:41
1,0.129,2018-01-01 1:45
1,0.161,2018-01-01 1:45
1,0.052,2018-01-01 1:52
1,0.229,2018-01-01 1:54
1,0.16,2018-01-01 1:57
1,0.231,2018-01-01 1:59
1,0.074,2018-01-01 2:00
1,0.145,2018-01-01 2:03
1,측정거부,2018-01-01 2:08
1,0.105,2018-01-01 2:10
1,0.151,2018-01-01 2:13
1,0.057,2018-01-01 2:14
1,0.14,2018-01-01 2:17
1,0.126,2018-01-01 2:18
1,0.12,2018-01-01 2:20
1,0.085,2018-01-01 2:24
1,0.115,2018-01-01 2:24
1,0.114,2018-01-01 2:27
1,0.222,2018-01-01 2:27
1,0.123,2018-01-01 2:33
1,0.164,2018-01-01 2:35
1,0.065,2018-01-01 2:35
1,0.062,2018-01-01 2:37
1,0.113,2018-01-01 2:38
1,0.176,2018-01-01 2:42
1,0.12,2018-01-01 2:49
