연번,성별,적발횟수,나이,알콜농도,측정일시,관할경찰서
1,남자,1,30,0.105,2020-01-01 0:03,일산동부경찰서
2,남자,1,57,0.077,2020-01-01 0:13,부산연제경찰서
3,남자,1,68,0.089,2020-01-01 0:17,부천소사경찰서
4,남자,1,39,0.133,2020-01-01 0:17,마산중부경찰서
5,남자,1,37,측정거부,2020-01-01 0:19,수원서부경찰서
6,남자,1,43,0.133,2020-01-01 0:21,창원중부경찰서
7,남자,1,42,0.155,2020-01-01 0:22,거제경찰서
8,남자,1,54,0.073,2020-01-01 0:28,영덕경찰서
9,남자,1,28,0.114,2020-01-01 0:31,서귀포경찰서
10,남자,1,54,0.187,2020-01-01 0:31,안동경찰서
11,남자,1,27,0.177,2020-01-01 0:35,안양동안경찰서
12,남자,1,63,0.108,2020-01-01 0:40,순천경찰서
13,남자,1,55,0.126,2020-01-01 0:41,아산경찰서
14,남자,1,46,0.147,2020-01-01 0:41,인천연수경찰서
15,남자,1,50,0.123,2020-01-01 0:42,하남경찰서
16,남자,1,46,0.123,2020-01-01 0:46,포천경찰서
17,남자,1,45,0.081,2020-01-01 0:52,서산경찰서
18,여자,1,46,0.176,2020-01-01 0:54,칠곡경찰서
19,남자,1,33,0.051,2020-01-01 1:00,김해중부경찰서
20,남자,1,54,0.121,2020-01-01 1:02,성남중원경찰서
21,여자,1,39,0.166,2020-01-01 1:08,영덕경찰서
22,남자,1,38,0.106,2020-01-01 1:16,부천소사경찰서
23,남자,1,47,0.059,2020-01-01 1:16,보령경찰서
24,남자,1,35,0.13,2020-01-01 1:19,파주경찰서
25,남자,1,27,0.099,2020-01-01 1:20,서산경찰서
26,남자,1,66,0.056,2020-01-01 1:24,부산진경찰서
27,남자,1,44,0.076,2020-01-01 1:26,안동경찰서
28,남자,1,60,0.118,2020-01-01 1:29,수원서부경찰서
29,남자,1,33,0.205,2020-01-01 1:33,김포경찰서
30,남자,1,24,0.094,2020-01-01 1:36,김포경찰서
31,남자,1,35,0.075,2020-01-01 1:37,성주경찰서
32,여자,1,39,0.114,2020-01-01 1:38,의정부경찰서
33,남자,1,40,0.117,2020-01-01 1:39,시흥경찰서
34,남자,1,24,0.07,2020-01-01 1:44,안산상록경찰서
35,남자,1,68,0.097,2020-01-01 1:45,평창경찰서
36,남자,1,55,0.194,2020-01-01 1:45,인천강화경찰서
37,남자,1,63,0.109,2020-01-01 1:47,부산사상경찰서
38,남자,1,62,0.076,2020-01-01 1:47,구미경찰서
39,남자,1,37,0.21,2020-01-01 1:51,서울마포경찰서
40,여자,1,52,0.125,2020-01-01 1:53,제주서부경찰서
41,남자,1,37,0.091,2020-01-01 1:54,서울용산경찰서
42,남자,1,51,측정거부,2020-01-01 1:54,천안동남경찰서
43,남자,1,48,0.037,2020-01-01 1:54,부산사하경찰서
44,남자,1,39,0.092,2020-01-01 1:55,청주흥덕경찰서
45,남자,1,44,0.126,2020-01-01 1:56,목포경찰서
46,남자,1,51,0.115,2020-01-01 1:56,서울양천경찰서
47,남자,1,63,0.135,2020-01-01 1:59,파주경찰서
48,남자,1,37,0.167,2020-01-01 1:59,목포경찰서
49,남자,1,47,0.147,2020-01-01 2:03,양산경찰서
50,남자,1,25,0.133,2020-01-01 2:06,춘천경찰서
51,남자,1,21,0.117,2020-01-01 2:08,영암경찰서
52,남자,1,36,0.091,2020-01-01 2:11,대구동부경찰서
53,남자,1,42,0.046,2020-01-01 2:13,시흥경찰서
54,여자,1,35,0.146,2020-01-01 2:16,청주청원경찰서
55,여자,1,31,0.147,2020-01-01 2:19,공주경찰서
56,남자,1,39,0.039,2020-01-01 2:20,광주북부경찰서
57,여자,1,49,0.051,2020-01-01 2:22,일산동부경찰서
58,남자,1,53,0.141,2020-01-01 2:27,강릉경찰서
59,남자,1,45,0.151,2020-01-01 2:35,인천남동경찰서
60,남자,1,46,0.125,2020-01-01 2:36,시흥경찰서
61,남자,1,50,0.055,2020-01-01 2:42,대구달서경찰서
62,여자,1,25,0.122,2020-01-01 2:45,의정부경찰서
63,남자,1,38,0.124,2020-01-01 2:51,천안동남경찰서
64,여자,1,24,0.056,2020-01-01 2:52,대전유성경찰서
65,남자,1,39,0.13,2020-01-01 2:54,해남경찰서
66,남자,1,62,0.119,2020-01-01 2:54,서울노원경찰서
67,남자,1,35,0.075,2020-01-01 2:57,서울강북경찰서
68,남자,1,26,0.074,2020-01-01 3:00,서울강서경찰서
69,남자,1,19,0.044,2020-01-01 3:02,진주경찰서
70,남자,1,32,0.09,2020-01-01 3:09,안산상록경찰서
71,남자,1,42,0.102,2020-01-01 3:09,광주광산경찰서
72,남자,1,31,0.091,2020-01-01 3:11,파주경찰서
73,남자,1,27,0.135,2020-01-01 3:16,대구성서경찰서
74,여자,1,40,0.176,2020-01-01 3:24,화성동탄경찰서
75,남자,1,47,0.081,2020-01-01 3:24,광주남부경찰서
76,남자,1,40,0.094,2020-01-01 3:24,부산북부경찰서
77,남자,1,28,0.035,2020-01-01 3:24,부산동래경찰서
78,남자,1,30,0.079,2020-01-01 3:25,부산북부경찰서
79,남자,1,37,0.101,2020-01-01 3:31,파주경찰서
80,남자,1,19,0.067,2020-01-01 3:41,성남중원경찰서
81,남자,1,36,0.085,2020-01-01 3:46,김천경찰서
82,남자,1,22,0.142,2020-01-01 3:50,제주서부경찰서
83,남자,1,37,0.117,2020-01-01 3:52,청주흥덕경찰서
84,남자,1,28,0.067,2020-01-01 3:55,보령경찰서
85,남자,1,21,0.096,2020-01-01 3:58,천안서북경찰서
86,남자,1,27,0.099,2020-01-01 4:03,평택경찰서
87,남자,1,29,0.093,2020-01-01 4:03,광주광산경찰서
88,남자,1,26,0.051,2020-01-01 4:07,홍성경찰서
89,남자,1,28,0.065,2020-01-01 4:08,파주경찰서
90,여자,1,42,0.043,2020-01-01 4:08,동두천경찰서
91,남자,1,43,0.068,2020-01-01 4:15,수원중부경찰서
92,남자,1,22,0.055,2020-01-01 4:16,강원고성경찰서
93,남자,1,19,0.099,2020-01-01 4:17,여주경찰서
94,남자,1,34,0.048,2020-01-01 4:24,평택경찰서
95,남자,1,24,0.057,2020-01-01 4:27,광주경찰서
96,남자,1,36,0.121,2020-01-01 4:29,구미경찰서
97,남자,1,62,0.03,2020-01-01 4:33,여수경찰서
98,남자,1,47,0.107,2020-01-01 4:33,영암경찰서
99,남자,1,25,0.04,2020-01-01 4:34,전주덕진경찰서
100,남자,1,33,0.075,2020-01-01 4:36,서울남대문경찰서
101,남자,1,25,0.108,2020-01-01 4:39,서울성북경찰서
102,남자,1,28,0.123,2020-01-01 4:44,대구달서경찰서
103,남자,1,26,0.062,2020-01-01 4:45,서울금천경찰서
104,남자,1,49,0.144,2020-01-01 4:52,창원중부경찰서
105,남자,1,38,0.142,2020-01-01 4:56,목포경찰서
106,남자,1,19,0.137,2020-01-01 4:56,서울은평경찰서
107,여자,1,36,0.09,2020-01-01 5:05,포천경찰서
108,남자,1,28,0.081,2020-01-01 5:06,광명경찰서
109,남자,1,20,0.073,2020-01-01 5:10,홍천경찰서
110,남자,1,31,0.076,2020-01-01 5:11,서울송파경찰서
111,남자,1,25,0.085,2020-01-01 5:13,부산사상경찰서
112,남자,1,41,0.07,2020-01-01 5:20,안성경찰서
113,여자,1,37,0.126,2020-01-01 5:27,칠곡경찰서
