행정구역별,평균연령
서울특별시,41.9
부산광역시,43.6
대구광역시,42.1
인천광역시,41
광광주,40.1
대전광역시,40.2
울산광역시,40.2
세종특별자치시,36.2
수원시,39
성남시,41.3
안양시,41.1
부천시,41.3
광명시,40.9
평택시,39.6
동두천시,43.7
안산시,40
고양시,41.2
과천시,41.8
구리시,40.9
남양주시,40.6
오산시,37.3
시흥시,38.7
군포시,40.8
의왕시,41.6
하남시,40.2
용인시,39.3
파주시,39.8
이천시,40
안성시,41.5
김포시,38.9
화성시,36.4
경광주,40.2
양주시,41.6
포천시,43.5
여주시,44.7
연천군,46.8
가평군,47.7
양평군,47.1
춘천시,42.1
원주시,41.3
강릉시,44.2
동해시,44.4
태백시,46.7
속초시,44.7
삼척시,45.8
홍천군,48
횡성군,49.9
영월군,50.4
평창군,49.7
정선군,49.4
철원군,44.5
화천군,44.4
양구군,43.4
인제군,44.5
강고성군,47.8
양양군,50.9
충주시,43.6
제천시,44.6
청주시,39.8
보은군,52.2
옥천군,49.6
영동군,49.6
진천군,41.7
괴산군,51.1
음성군,43.8
단양군,51.3
증평군,41.5
천안시,38.1
공주시,46.3
보령시,46.9
아산시,38.2
서산시,42.5
논산시,46.3
계룡시,39
당진시,42.1
금산군,48
부여군,51.3
서천군,52.5
청양군,52
홍성군,44.5
예산군,49.8
태안군,49.7
전주시,40.6
군산시,42.4
익산시,42.8
정읍시,47.6
남원시,48.3
김제시,50
완주군,43.5
진안군,52.1
무주군,51.6
장수군,51
임실군,51.8
순창군,51.3
고창군,51
부안군,51.1
목포시,41.6
여수시,43.6
순천시,41.5
나주시,44.3
광양시,40.5
담양군,49.8
곡성군,51.4
구례군,52.7
고흥군,55.4
보성군,53.4
화순군,47.6
장흥군,51.7
강진군,51.5
해남군,50.3
영암군,45.9
무안군,42.3
함평군,52.4
영광군,48.6
장성군,48.7
완도군,50.1
진도군,50.9
신안군,53.7
포항시,42.9
경주시,44.9
김천시,45.2
안동시,45.7
구미시,37.6
영주시,47.1
영천시,48.6
상주시,49.8
문경시,49.7
경산시,40.6
군위군,55.4
의성군,56.4
청송군,54.3
영양군,53.5
영덕군,53.3
청도군,53.9
고령군,49.9
성주군,51.4
칠곡군,40.6
예천군,49.5
봉화군,53.9
울진군,48.7
울릉군,49.1
진주시,41.5
통영시,43.5
사천시,44.6
김해시,39.1
밀양시,48.5
거제시,38.2
양산시,40
창원시,41.2
의령군,53.4
함안군,45.7
창녕군,49.5
경고성군,49.6
남해군,53.5
하동군,52.6
산청군,53.2
함양군,51.8
거창군,47.9
합천군,55
제주시,40.2
서귀포시,43.5
