rank,title,description,runtime,genre,rating,metascore,votes,gross,director,actors
1.,Animal Crackers,A family must use a magical box of Animal Crackers to save a run-down circus from being taken over by their evil uncle Horatio P. Huntington.,105 min,"Animation, Adventure, Comedy",5.8,60.0,"1,373",,"Tony Bancroft, ","Emily Blunt, Danny DeVito, John Krasinski, Ian McKellen"
2.,"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,115 min,"Comedy, Crime, Drama",8.2,88.0,"408,581",$54.51M,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones"
3.,Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",164 min,"Action, Drama, Mystery",8.0,81.0,"437,891",$92.05M,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
4.,The Post,A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,116 min,"Drama, Thriller",7.2,83.0,"129,153",$81.90M,Steven Spielberg,"Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk"
5.,Pirates of the Caribbean: Dead Men Tell No Tales,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,129 min,"Action, Adventure, Fantasy",6.6,39.0,"253,240",$172.56M,"Joachim Rønning, ","Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom"
6.,It,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",135 min,Horror,7.3,69.0,"440,412",$327.48M,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
7.,Justice League,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",120 min,"Action, Adventure, Fantasy",6.3,45.0,"368,841",$229.02M,Zack Snyder,"Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller"
8.,Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",136 min,"Action, Adventure, Comedy",7.6,67.0,"547,255",$389.81M,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel"
9.,Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",130 min,"Action, Adventure, Comedy",7.9,74.0,"561,175",$315.06M,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo"
10.,The Greatest Showman,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,105 min,"Biography, Drama, Musical",7.6,48.0,"223,986",$174.34M,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya"
