rank,title,description,runtime(min),genre,rating,metascore,votes,gross,director,actors
1.,Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family.",130,"Comedy, Crime, Drama",7.9,82.0,"58,801",,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
2.,The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",113,"Action, Comedy, Crime",7.9,51.0,"2,761",,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
3.,Once Upon a Time... in Hollywood,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,161,"Comedy, Drama",7.7,83.0,"276,076",$213.77M,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch"
4.,"Yes, God, Yes","After an innocent AOL chat turns racy, a Catholic teenager in the early 00s discovers masturbating and struggles to suppress her new urges in the face of eternal damnation.",78,"Comedy, Drama",5.9,71.0,"203,102",$49.28M,Karen Maine,"Christian Adam, Susan Blackwell, Alisha Boe, Donna Lynne Champlin"
5.,Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",122,"Crime, Drama, Thriller",8.5,59.0,"97,834",$15.95M,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
6.,Gisaengchung,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,132,"Comedy, Drama, Thriller",8.6,96.0,"351,616",$137.69M,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi"
7.,After,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,105,"Drama, Romance",5.4,30.0,"218,408",$44.07M,Jenny Gage,"Josephine Langford, Hero Fiennes Tiffin, Khadijha Red Thunder, Dylan Arnold"
8.,Motherless Brooklyn,"In 1950s New York, a lonely private detective afflicted with Tourette's Syndrome ventures to solve the murder of his mentor and only friend.",144,"Crime, Drama, Mystery",6.8,60.0,"345,067",$335.06M,Edward Norton,"Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Willem Dafoe"
9.,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,"Action, Adventure, Drama",8.4,78.0,"790,967",$678.82M,"Anthony Russo, ","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
10.,Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,152,"Action, Biography, Drama",8.1,81.0,"279,047",$220.16M,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe"
